location,metric,count
Carondelet,Feb 27 2023 - Neutral,1
Carondelet,Feb 27 2023 - Negative,1
Carondelet,Feb 27 2023 - Positive,0
Carondelet,Feb 28 2023,0
Carondelet,Feb 28 2023 - Neutral,0
Carondelet,Feb 28 2023 - Negative,0
Carondelet,Feb 28 2023 - Positive,0
Carondelet,Mar 01 2023,2
Carondelet,Mar 01 2023 - Neutral,0
Carondelet,Mar 01 2023 - Negative,0
Carondelet,Mar 01 2023 - Positive,2
Carondelet,Mar 02 2023,0
Carondelet,Mar 02 2023 - Neutral,0
Carondelet,Mar 02 2023 - Negative,0
Carondelet,Mar 02 2023 - Positive,0
Carondelet,Mar 03 2023,1
Carondelet,Mar 03 2023 - Neutral,0
Carondelet,Mar 03 2023 - Negative,0
Carondelet,Mar 03 2023 - Positive,1
Carondelet,Mar 04 2023,0
Carondelet,Mar 04 2023 - Neutral,0
Carondelet,Mar 04 2023 - Negative,0
Carondelet,Mar 04 2023 - Positive,0
Carondelet,Mar 05 2023,0
Carondelet,Mar 05 2023 - Neutral,0
Carondelet,Mar 05 2023 - Negative,0
Carondelet,Mar 05 2023 - Positive,0
Carondelet,Mar 06 2023,0
Carondelet,Mar 06 2023 - Neutral,0
Carondelet,Mar 06 2023 - Negative,0
Carondelet,Mar 06 2023 - Positive,0
Carondelet,Mar 07 2023,1
Carondelet,Mar 07 2023 - Neutral,0
Carondelet,Mar 07 2023 - Negative,0
Carondelet,Mar 07 2023 - Positive,1
Carondelet,Mar 08 2023,0
Carondelet,Mar 08 2023 - Neutral,0
Carondelet,Mar 08 2023 - Negative,0
Carondelet,Mar 08 2023 - Positive,0
Carondelet,Mar 09 2023,0
Carondelet,Mar 09 2023 - Neutral,0
Carondelet,Mar 09 2023 - Negative,0
Carondelet,Mar 09 2023 - Positive,0
Carondelet,Mar 10 2023,1
Carondelet,Mar 10 2023 - Neutral,0
Carondelet,Mar 10 2023 - Negative,0
Carondelet,Mar 10 2023 - Positive,1
Carondelet,Mar 11 2023,0
Carondelet,Mar 11 2023 - Neutral,0
Carondelet,Mar 11 2023 - Negative,0
Carondelet,Mar 11 2023 - Positive,0
Carondelet,Mar 12 2023,0
Carondelet,Mar 12 2023 - Neutral,0
Carondelet,Mar 12 2023 - Negative,0
Carondelet,Mar 12 2023 - Positive,0
Carondelet,Mar 13 2023,0
Carondelet,Mar 13 2023 - Neutral,0
Carondelet,Mar 13 2023 - Negative,0
Carondelet,Mar 13 2023 - Positive,0
Carondelet,Mar 14 2023,3
Carondelet,Mar 14 2023 - Neutral,0
Carondelet,Mar 14 2023 - Negative,0
Carondelet,Mar 14 2023 - Positive,3
Carondelet,Mar 15 2023,0
Carondelet,Mar 15 2023 - Neutral,0
Carondelet,Mar 15 2023 - Negative,0
Carondelet,Mar 15 2023 - Positive,0
Carondelet,Mar 16 2023,0
Carondelet,Mar 16 2023 - Neutral,0
Carondelet,Mar 16 2023 - Negative,0
Carondelet,Mar 16 2023 - Positive,0
Carondelet,Mar 17 2023,0
Carondelet,Mar 17 2023 - Neutral,0
