metric,Carondelet,Central West End,Cherokee Antique Row,Cherokee Street,Chesterfield,Clayton,Downtown St. Louis,Eureka,Forest Park,Grand Center Arts District,Kimmswick,Kirkwood,Laclede's Landing,Lafayette Square,Maplewood,Maryland Heights,North County,Soulard,South Grand,St. Louis,The Delmar Loop,The Grove,The Hill,The Ville,Washington University in St. Louis,Webster Groves
Feb 14 2023 - Neutral,0,7,0,0,42,14,16,7,0,0,0,3,0,0,12,11,2,0,0,330,0,0,1,0,0,14
Feb 14 2023 - Negative,0,0,0,0,28,7,0,3,0,0,0,6,0,0,12,6,0,0,0,232,0,0,0,0,0,9
Feb 14 2023 - Positive,0,0,0,0,35,13,17,4,0,0,0,4,0,0,30,4,1,0,0,236,0,0,0,0,0,2
Feb 15 2023,0,4,0,0,88,60,106,5,1,0,0,13,0,0,39,12,1,0,0,829,0,0,0,4,0,5
Feb 15 2023 - Neutral,0,3,0,0,22,26,57,2,0,0,0,4,0,0,10,4,0,0,0,340,0,0,0,2,0,3
Feb 15 2023 - Negative,0,0,0,0,32,20,2,2,1,0,0,1,0,0,6,4,0,0,0,239,0,0,0,0,0,1
Feb 15 2023 - Positive,0,1,0,0,25,14,32,1,0,0,0,8,0,0,19,4,1,0,0,176,0,0,0,0,0,1
Feb 16 2023,0,2,0,2,56,43,30,10,0,0,0,14,0,1,46,7,2,1,0,874,0,0,1,0,0,3
Feb 16 2023 - Neutral,0,1,0,1,23,15,12,3,0,0,0,8,0,0,12,3,1,0,0,365,0,0,0,0,0,2
Feb 16 2023 - Negative,0,0,0,0,18,9,1,2,0,0,0,3,0,0,9,2,0,0,0,232,0,0,0,0,0,0
Feb 16 2023 - Positive,0,1,0,1,13,15,16,4,0,0,0,3,0,1,23,1,1,0,0,212,0,0,1,0,0,1
Feb 17 2023,0,2,0,2,73,44,41,4,0,0,0,14,0,0,61,15,2,0,1,901,0,2,0,1,0,6
Feb 17 2023 - Neutral,0,2,0,2,34,23,20,2,0,0,0,5,0,0,18,5,1,0,0,375,0,1,0,0,0,1
Feb 17 2023 - Negative,0,0,0,0,13,14,2,2,0,0,0,3,0,0,19,3,0,0,0,221,0,1,0,0,0,1
Feb 17 2023 - Positive,0,0,0,0,23,7,10,0,0,0,0,5,0,0,21,5,1,0,1,229,0,0,0,0,0,3
Feb 18 2023,0,0,0,2,102,56,74,3,1,0,0,18,0,0,60,18,0,2,0,892,0,0,4,0,0,2
Feb 18 2023 - Neutral,0,0,0,1,32,23,43,0,1,0,0,2,0,0,11,7,0,1,0,401,0,0,2,0,0,2
Feb 18 2023 - Negative,0,0,0,0,15,14,1,2,0,0,0,9,0,0,9,2,0,0,0,200,0,0,2,0,0,0
Feb 18 2023 - Positive,0,0,0,1,50,17,28,1,0,0,0,7,0,0,38,7,0,1,0,230,0,0,0,0,0,0
Feb 19 2023,0,3,0,1,102,48,40,9,1,0,0,14,0,0,77,26,5,0,1,810,0,1,1,0,0,3
Feb 19 2023 - Neutral,0,2,0,1,38,22,17,4,1,0,0,4,0,0,27,11,1,0,1,314,0,0,0,0,0,1
Feb 19 2023 - Negative,0,0,0,0,20,15,2,2,0,0,0,2,0,0,15,0,1,0,0,221,0,0,0,0,0,0
Feb 19 2023 - Positive,0,1,0,0,41,9,18,2,0,0,0,8,0,0,33,11,2,0,0,216,0,1,1,0,0,1
Feb 20 2023,0,3,0,0,70,38,18,5,1,0,0,7,0,1,75,25,1,2,0,816,0,0,4,0,0,5
Feb 20 2023 - Neutral,0,2,0,0,30,11,6,3,1,0,0,4,0,1,20,9,0,1,0,324,0,0,1,0,0,0
Feb 20 2023 - Negative,0,0,0,0,18,18,1,1,0,0,0,2,0,0,22,2,0,0,0,237,0,0,1,0,0,0
Feb 20 2023 - Positive,0,1,0,0,16,7,8,0,0,0,0,1,0,0,29,11,1,1,0,203,0,0,2,0,0,0
Feb 21 2023,0,3,0,2,59,32,23,8,1,0,0,13,0,0,96,15,3,0,0,902,0,0,1,1,0,7
Feb 21 2023 - Neutral,0,3,0,2,18,15,16,1,0,0,0,6,0,0,22,4,0,0,0,347,0,0,0,0,0,6
Feb 21 2023 - Negative,0,0,0,0,10,8,1,2,0,0,0,2,0,0,48,4,0,0,0,281,0,0,0,0,0,1
Feb 21 2023 - Positive,0,0,0,0,20,8,5,3,1,0,0,3,0,0,25,6,3,0,0,206,0,0,1,0,0,0
Feb 22 2023,0,2,0,2,75,28,23,7,0,0,0,14,0,3,90,13,7,0,0,817,0,0,4,0,0,9
Feb 22 2023 - Neutral,0,2,0,1,21,9,13,1,0,0,0,6,0,3,21,6,3,0,0,335,0,0,3,0,0,3
Feb 22 2023 - Negative,0,0,0,0,24,8,2,1,0,0,0,7,0,0,34,2,1,0,0,237,0,0,0,0,0,2
Feb 22 2023 - Positive,0,0,0,1,16,8,6,3,0,0,0,1,0,0,33,4,3,0,0,195,0,0,1,0,0,1
Feb 23 2023,0,3,0,4,58,41,20,4,0,0,0,14,0,0,89,21,6,0,0,927,0,1,1,0,0,6
Feb 23 2023 - Neutral,0,1,0,3,19,15,14,2,0,0,0,5,0,0,36,9,1,0,0,376,0,1,0,0,0,2
Feb 23 2023 - Negative,0,0,0,0,12,12,2,0,0,0,0,1,0,0,41,6,1,0,0,236,0,0,0,0,0,1
Feb 23 2023 - Positive,0,2,0,1,17,10,4,1,0,0,0,7,0,0,9,3,4,0,0,256,0,0,1,0,0,2
Feb 24 2023,0,2,0,0,78,41,57,11,0,0,0,12,0,0,72,18,4,0,0,932,0,1,2,0,0,3
Feb 24 2023 - Neutral,0,1,0,0,42,12,39,7,0,0,0,3,0,0,19,8,1,0,0,421,0,1,0,0,0,0
Feb 24 2023 - Negative,0,1,0,0,10,10,4,0,0,0,0,2,0,0,25,4,1,0,0,227,0,0,0,0,0,1
Feb 24 2023 - Positive,0,0,0,0,20,14,12,3,0,0,0,5,0,0,25,5,2,0,0,219,0,0,2,0,0,0
Feb 25 2023,0,2,0,2,106,31,105,11,0,0,0,9,0,1,36,23,3,0,0,1271,0,0,1,0,0,4
Feb 25 2023 - Neutral,0,2,0,1,49,15,67,6,0,0,0,2,0,1,3,13,1,0,0,555,0,0,0,0,0,1
Feb 25 2023 - Negative,0,0,0,0,14,5,1,1,0,0,0,3,0,0,15,3,0,0,0,302,0,0,0,0,0,1
Feb 25 2023 - Positive,0,0,0,0,33,10,34,3,0,0,0,4,0,0,15,5,2,0,0,320,0,0,1,0,0,2
Feb 26 2023,1,0,0,1,100,31,81,4,0,0,0,9,0,0,32,15,4,7,0,1132,0,2,3,1,0,4
Feb 26 2023 - Neutral,0,0,0,0,34,11,52,2,0,0,0,4,0,0,15,5,3,2,0,463,0,2,0,0,0,0
Feb 26 2023 - Negative,1,0,0,0,12,9,2,1,0,0,0,1,0,0,7,4,0,0,0,316,0,0,2,0,0,1
Feb 26 2023 - Positive,0,0,0,1,45,8,24,1,0,0,0,3,0,0,8,6,1,4,0,275,0,0,0,0,0,2
Feb 27 2023,2,0,0,0,55,30,60,6,0,0,0,19,0,0,36,10,5,1,0,1054,0,0,2,2,0,10
Feb 27 2023 - Neutral,1,0,0,0,23,12,42,3,0,0,0,6,0,0,6,5,4,1,0,418,0,0,0,0,0,4
Feb 27 2023 - Negative,1,0,0,0,12,5,0,2,0,0,0,8,0,0,10,2,0,0,0,343,0,0,1,0,0,2
Feb 27 2023 - Positive,0,0,0,0,17,9,17,0,0,0,0,3,0,0,18,3,1,0,0,224,0,0,1,0,0,3
Feb 28 2023,0,3,0,2,38,51,83,6,0,0,0,26,0,0,34,21,5,1,0,925,0,1,3,0,0,2
Feb 28 2023 - Neutral,0,3,0,2,18,20,59,0,0,0,0,9,0,0,11,6,0,1,0,363,0,1,2,0,0,0
Feb 28 2023 - Negative,0,0,0,0,5,17,1,0,0,0,0,8,0,0,15,2,2,0,0,262,0,0,0,0,0,1
Feb 28 2023 - Positive,0,0,0,0,13,8,23,4,0,0,0,7,0,0,7,8,3,0,0,229,0,0,1,0,0,1
Mar 01 2023,0,1,0,0,6,0,63,1,0,0,0,0,0,0,1,4,1,2,1,54,0,0,2,0,0,1
Mar 01 2023 - Neutral,0,1,0,0,3,0,51,1,0,0,0,0,0,0,0,3,0,2,1,26,0,0,2,0,0,0
Mar 01 2023 - Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
Mar 01 2023 - Positive,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,1
Mar 02 2023,0,0,0,0,0,0,19,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Mar 02 2023 - Neutral,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mar 02 2023 - Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar 02 2023 - Positive,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mar 03 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar 03 2023 - Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar 03 2023 - Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar 03 2023 - Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
